 
           7           7   0.0000000000000000     
           7           8  -2367.9854257807310     
           7           9  -314.32841898201150     
           7          10   443.96229040867911     
           7          11  -719.41464430314227     
           7          12  -1146.5310195418861     
           7          13  -578.18490641750395     
           7          14  -198.54507428235229     
           7          15   343.62209737281228     
           7          16   47.382048186562315     
           7          17   194.68197890491865     
           7          18  -16.356411969125475     
           7          19  -132.25873273527395     
           7          20  -44.815150548227393     
           7          21  -122.47467706543466     
           7          22  -212.52170994642802     
           7          23   32.454418412893574     
           7          24   802.53552493311145     
           7          25  -742.03528048773296     
           7          26  -25.095277375767182     
           8           1   378.66004995859112     
           8           2  -27.302434087148868     
           8           3   2033.0550006243429     
           8           4  -658.86958939573378     
           8           5  -72.202506240122602     
           8           6  -240.30332593502681     
           8           7  -2367.9854257807310     
           8           8   0.0000000000000000     
           8           9   114.20435519750026     
           8          10  -2197.2543203204987     
           8          11  -955.50295105794794     
           8          12   425.82977843118715     
           8          13  -369.79913226665667     
           8          14   196.66608587381779     
           8          15  -1130.5690637264852     
           8          16  -42.844633110373252     
           8          17  -57.123364528062666     
           8          18  -42.736114314189763     
           8          19   9.3993280181966838     
           8          20  -55.146859107360797     
           8          21  -185.79548897976201     
           8          22  -1577.1576345050780     
           8          23   9.1689175183164480     
           8          24   130.76194668189055     
           8          25  -125.58238231611904     
           8          26  -62.310316931951093     
           9           1   130.72810102476433     
           9           2  -141.21180704620929     
           9           3   22.952866226307378     
           9           4  -38.119024835039454     
           9           5   14.469916107111203     
           9           6  -2035.9106822448666     
           9           7  -314.32841898201150     
           9           8   114.20435519750026     
           9           9   0.0000000000000000     
           9          10  -516.25393110867299     
           9          11  -2.0187496684848156     
           9          12  -66.490394481766998     
           9          13  -179.11745475550924     
           9          14   8.6273255725536728     
           9          15  -23.633484156063787     
           9          16   1.3494561285588134     
           9          17  -13.358025703604653     
           9          18  -84.378295593007351     
           9          19  -5.1226074215082917     
           9          20  -4.4357390183649841     
           9          21   4.3950754569559649     
           9          22   88.499336419958126     
           9          23  -48.947156069414632     
           9          24  -127.18722092737153     
           9          25  -2061.7294255236120     
           9          26   31.489590869441599     
          10           1   308.63693822964706     
          10           2  -2189.6880056580849     
          10           3   109.93600824133318     
          10           4  -388.04483843816706     
          10           5   82.485267874209967     
          10           6   44.891246004102868     
          10           7   443.96229040867911     
          10           8  -2197.2543203204987     
          10           9  -516.25393110867299     
          10          10   0.0000000000000000     
          10          11  -451.54295914089016     
          10          12  -740.54072894420824     
          10          13  -1491.5527145360611     
          10          14  -6.5279267907317262     
          10          15  -86.735754453984555     
          10          16   2.5823964004230220     
          10          17  -31.010329663211451     
          10          18  -269.04480118551874     
          10          19  -98.803053958610690     
          10          20   13.964438024489937     
          10          21   5.8083675109301112     
          10          22  -73.934267747463309     
          10          23  -252.28897842304650     
          10          24  -347.05681509787973     
          10          25  -2052.5406778621982     
          10          26   130.39450996249434     
          11           1  -12.092110307821713     
          11           2  -382.21974926627445     
          11           3  -54.246526875249401     
          11           4  -511.12221038770804     
          11           5  -599.56962504534022     
          11           6  -136.73170796969498     
          11           7  -719.41464430314227     
          11           8  -955.50295105794794     
          11           9  -2.0187496684848156     
          11          10  -451.54295914089016     
          11          11   0.0000000000000000     
          11          12  -434.34453506241698     
          11          13  -118.50593403229868     
          11          14  -701.02159895544901     
          11          15  -717.92540737648960     
          11          16  -87.251409306132700     
          11          17  -518.72303761017247     
          11          18  -161.32513504182134     
          11          19   2082.2908470785915     
          11          20  -403.99950044193974     
          11          21  -1349.1584482001854     
          11          22  -139.19397922831558     
          11          23   29.217512425871973     
          11          24  -12.115074368462956     
          11          25  -110.38742754484701     
          11          26  -126.42002391508868     
          12           1  0.32885722063656431     
          12           2   45.581301643625920     
          12           3   68.271525035921513     
          12           4  -66.688557454890542     
          12           5  -321.13700047597740     
          12           6  -702.00405805274204     
          12           7  -1146.5310195418861     
          12           8   425.82977843118715     
          12           9  -66.490394481766998     
          12          10  -740.54072894420824     
          12          11  -434.34453506241698     
          12          12   0.0000000000000000     
          12          13  -2742.7178242563969     
          12          14  -1612.5190828325431     
          12          15   246.71999963159033     
          12          16   152.41901742166374     
          12          17   689.90971390117193     
          12          18  -66.940918281616177     
          12          19  -137.94273515543682     
