 
 -------------------------
 ForceFieldType:LJ_Q      
 -------------------------
 Rmin Table:
   1.2000000000000000        1.2000000000000000        1.2000000000000000     
   1.2000000000000000        1.2000000000000000        1.2000000000000000     
   1.2000000000000000        1.2000000000000000        0.0000000000000000     
 Molecular Index List
 Type, Mol, Index
           2          53   21.933080089296709     
           2          54  -3.3235702960955678     
           2          55   16.498527924750306     
           2          56  -7.0514224312428269     
           2          57   8.7747714945180633     
           2          58  -57.282072667891043     
           2          59   12.296163541017449     
           2          60   585.79246880402934     
           2          61   23.645556822983053     
           2          62  -2.8935200168252777     
           2          63  -1047.5441147646561     
           2          64  -29.577994282750296     
           2          65  -116.93791055851034     
           2          66  -17.083779044685798     
           2          67   2.2293645138488500     
           2          68   13.262234950223501     
           2          69   119.92955314538631     
           2          70   27.874542772711720     
           2          71   15.664749149502313     
           2          72   12.087849558953167     
           2          73  -12.623076586851312     
           2          74  -2104.0454743795126     
           2          75  -39.128452177745203     
           2          76  -7.7820990345644532     
           2          77   3.6168500740950549     
           2          78  -132.84480369014273     
           2          79  -4.0977480071996979     
           2          80   93.188763431018742     
           2          81  -15.695010743547755     
           2          82  -87.716072660477948     
           2          83  -73.313287426946772     
           2          84  -6.5609176071739057     
           2          85   35.867905805065675     
           2          86  -2058.4106117619522     
           2          87  -38.880124807601533     
           2          88  -15.584446645678327     
           2          89   543.91371451375016     
           2          90  -2.1430711973625876     
           2          91   8.6886419192014728     
           2          92  -2.0779491668381525     
           2          93  -20.436953042431924     
           2          94  -30.473922673736524     
           2          95  -25.611857060841430     
           2          96   14.437931997839769     
           2          97   29.104894202821015     
           2          98 -0.49943773366612731     
           2          99   9.2302706488590047     
           2         100   32.114503211359988     
           3           1  -8.2749411549302749     
           3           2   10.009772853274626     
           3           3   0.0000000000000000     
           3           4   4.6879955792755936     
           3           5   22.584725277683901     
           3           6  -3.9921262628922705     
           3           7  -189.45584817955023     
           3           8  -1.1108538215084991     
           3           9  -294.28886873231386     
           3          10   74.885893983468122     
           3          11  -81.384405325046828     
           3          12  -1238.5226629356330     
           3          13   39.173656815961294     
           3          14   145.13456105727892     
           3          15  -35.932579402899137     
           3          16  -57.431723077261267     
           3          17  -355.55303694423492     
           3          18  -56.116052882774966     
           3          19  -503.47465255301358     
           3          20   123.70636149585334     
           3          21  -18.413240306688749     
           3          22  0.19461093283098307     
           3          23   14.856024913256988     
           3          24   3.0097030659562733     
           3          25  -919.81292005710566     
           3          26  -20.195860189400264     
           3          27   17.318475459303954     
           3          28  -1123.5871921688522     
           3          29  -66.713335390857537     
           3          30   3.4610767128324369     
           3          31   109.45241337208427     
           3          32  -115.84177699263091     
           3          33  -22.676974616906591     
           3          34  -10.789232083787283     
           3          35   10.958010826401733     
           3          36  -81.793032154604589     
           3          37   25.678635105701687     
           3          38   34.633199621781387     
           3          39   7.2199138032665360     
           3          40  -62.557011154262000     
           3          41   27.062217409804362     
           3          42   32.832707134126395     
           3          43  -16.318790368241025     
           3          44  -13.328152958263672     
           3          45   367.87276690444560     
           3          46   443.14834802609403     
           3          47  -55.783447815621912     
           3          48  -97.920135611722799     
           3          49   71.236919554765336     
           3          50  -27.836192210899753     
           3          51  -47.680180065399327     
           3          52  -778.01803886534617     
           3          53  -21.383755382033996     
           3          54  -33.534524365812103     
           3          55   95.527003211464034     
           3          56   97.176799628196022     
           3          57 -0.28817257455011713     
           3          58  0.41123985159720178     
           3          59  -8.0609841453951958     
           3          60  -50.302107219406025     
           3          61  -12.679134792357218     
           3          62  -23.083506232778745     
           3          63   16.478439665717815     
           3          64   35.953722940135776     
           3          65  -54.630139606746525     
           3          66   9.2180000101579935     
           3          67  -447.71381259278132     
           3          68   50.044789024028432     
           3          69   96.375581568405323     
           3          70   115.67638384349266     
           3          71  -39.809561501773715     
           3          72   99.827758369610819     
           3          73  -309.88128812515060     
           3          74  -42.198114270195219     
           3          75   350.80982197403500     
           3          76   84.402074231056758     
           3          77   2.7713169844319054     
           3          78   127.28226355512015     
           3          79  -4.8125170535986399     
           3          80   60.265946239782352     
           3          81  -5.5241803984245053E-002
           3          82  -16.798765089104563     
           3          83   41.192394352881820     
           3          84   181.37453718586039     
           3          85  -2.1184340718864405     
           3          86  -10.352611513408192     
           3          87  -1323.6048742131970     
           3          88  -2.3150597449384804     
           3          89   83.362272192411183     
           3          90  -666.25227873562835     
           3          91   44.841271188412065     
           3          92  -11.159201632983240     
           3          93   346.50651842677325     
           3          94   408.52807996281626     
           3          95  -2716.0828380410239     
           3          96  -17.480867244534238     
           3          97   3.4207675288125756     
           3          98  -130.14677732009295     
           3          99  -71.318141654792271     
           3         100   1.2865215894198627     
           4           1  -61.290649096681591     
           4           2   14.678798553290108     
           4           3   4.6879955792755936     
           4           4   0.0000000000000000     
           4           5   28.594584361762827     
           4           6  -34.876637335983105     
           4           7   23.501385616687912     
           4           8   71.490905084636324     
           4           9   6.6285717642094824     
           4          10   59.821797281696490     
           4          11  -33.194032065126521     
           4          12   19.096546509157633     
           4          13  -99.665179136209190     
           4          14  -4.6458141160110245     
           4          15   3.0215978117139457     
           4          16  -38.998842660879745     
           4          17   7.6422668115974375     
           4          18   9.6876179516584671     
           4          19  -10.395330346129413     
           4          20   17.348365617952368     
           4          21  -91.962014344881027     
           4          22  -36.507664021140954     
           4          23  -2341.9384057071438     
           4          24  -2.2869054520015197     
           4          25  -8.1324960976908187     
           4          26   13.766602446448815     
           4          27   49.362020117569045     
           4          28  -2.9742109816870652     
           4          29   21.179065371808974     
           4          30  -1.2765791923193319     
           4          31  -62.701435127208242     
           4          32  -12.631886580129503     
           4          33  -4.1179468312147947     
           4          34   34.254123231483391     
           4          35  -107.07255898954099     
           4          36  -4.9769801133570581     
           4          37  -36.492497356975946     
           4          38  -3.0389794592865655     
           4          39   1.4465840133925667     
           4          40   44.784573672146507     
           4          41  -13.733580487269137     
           4          42   3.8695749789349065     
           4          43   3.7346582535319612     
           4          44  -254.25983753082983     
           4          45   42.329972790845204     
           4          46  -14.850477504056471     
           4          47  -12.339083776356347     
           4          48  -9.1830083815802936     
           4          49 -0.82092649029982567     
           4          50   10.939565607955956     
           4          51   12.990663431044595     
           4          52   3.9916888172901963     
           4          53   20.936064248344337     
           4          54   18.935423707222071     
           4          55   7.5225106499292451     
           4          56   2.6810182142107806     
           4          57  -5.2500040118338802     
           4          58  -295.34815211318346     
           4          59  -221.76017604799563     
           4          60  -1.2829795113175351     
           4          61   220.61332957189734     
           4          62  0.84069983924928238     
           4          63  -66.282019335587393     
           4          64  -12.105555629526862     
           4          65   5.3572249423050380     
           4          66  -6.4243328180782555     
           4          67  -2.3646859943310119     
           4          68   4.9751740713672916     
           4          69  -7.9447733587585390     
           4          70  -5.2888334105828108     
           4          71  -14.557142847024807     
           4          72   9.7735146492286731     
           4          73   4.8913987584619463     
           4          74  -4.7645498519559624     
           4          75   5.1630713959912100     
           4          76   70.391594904798694     
           4          77   509.29806326540711     
           4          78   45.469837992099201     
           4          79   8.0866460877405189     
           4          80   42.404630776029080     
           4          81   15.952625099467696     
           4          82   131.84947295269376     
           4          83  -52.778447637203499     
           4          84   29.219156728027883     
           4          85   7.1320205300562520     
           4          86   8.0417711141490145     
           4          87  -8.7749989890653524     
           4          88  -325.83440989401424     
           4          89   22.061559431154819     
           4          90  -13.410950667488578     
           4          91   41.946446962290793     
           4          92  -68.937396706700383     
           4          93  -22.780367496696272     
           4          94  -39.860420563854859     
           4          95  -13.630669179130564     
           4          96  -1437.4788098046411     
           4          97  -678.12266257277224     
           4          98   5.2670570406335173     
           4          99  -2.3410030219620239     
           4         100  -17.568565811856388     
           5           1   9.4099398765647493     
           5           2  -57.577852169441030     
           5           3   22.584725277683901     
           5           4   28.594584361762827     
           5           5   0.0000000000000000     
           5           6   10.052167058176565     
           5           7  -139.72452335127309     
           5           8   132.53873983671656     
           5           9   10.341988745665731     
           5          10  -2199.6848500867782     
           5          11   22.867502868542942     
           5          12  -56.204467385407042     
           5          13   52.000584872999752     
           5          14   40.199676059688500     
           5          15   1.3566564661960001     
           5          16  -1172.0910792475406     
           5          17  -15.580903917503747     
           5          18   12.042662470812502     
           5          19  -5.0102478363805858     
           5          20   12.390364114566182     
           5          21   43.608521613012272     
           5          22   209.81127152406407     
           5          23  -94.735224642488902     
           5          24  -224.63980644103140     
           5          25   22.016129188119521     
           5          26   78.903429713154765     
           5          27   196.89303817865584     
           5          28  -50.850535797893826     
           5          29   4.3111083238072752     
           5          30  -43.383085203553492     
           5          31  -47.952949408092536     
           5          32   16.911198127338139     
           5          33   54.259710129939776     
           5          34   79.877715149385040     
           5          35   3.6747295300374390     
           5          36   8.6382670873499592     
           5          37   5.8628451290824160     
           5          38   6.6837414887086197     
           5          39   4.1491621122149809     
           5          40  -79.094958511181176     
           5          41   1.8973599210039538     
           5          42 -0.41563629630036303     
           5          43  -6.7595749630672799     
           5          44   33.970033824869461     
           5          45  -152.88592310361491     
           5          46   22.690669642703142     
           5          47   22.275082931737415     
           5          48  -5.5573064929631073     
           5          49   7.9478837547922012     
           5          50  -24.926050099718850     
           5          51  -27.347381851806858     
           5          52   16.692488056894945     
           5          53  -524.71965325061319     
           5          54   18.663937202090892     
           5          55  0.35792725956343929     
           5          56   2.3055483848147560     
           5          57   9.0750963402242633     
           5          58  -1795.2918245452092     
           5          59   46.305685095092485     
           5          60  -15.765499120036111     
           5          61   149.47713291251421     
           5          62  -4.6241246452245832     
           5          63  -1367.8119337069220     
           5          64   26.937921086799179     
           5          65  -25.575294953676348     
           5          66   16.671033321070354     
           5          67   28.028449869845645     
           5          68  -5.2299913465012651     
           5          69   16.844295830109331     
           5          70   22.053295585161322     
           5          71   27.868845126609813     
           5          72  -17.963031787343425     
           5          73  -13.737254749472413     
           5          74  -87.125203730542125     
           5          75  -3.9013050150679192     
           5          76   52.882720312110905     
           5          77   100.89921130866423     
           5          78   488.81933055056288     
           5          79   12.101315716492536     
           5          80  -477.76205567935540     
           5          81  -36.334963552613772     
           5          82  -77.061837793196901     
           5          83   9.3873356751792016     
           5          84   6.6813661090818641     
           5          85  -7.9202355069646728     
           5          86  -62.337401042765123     
           5          87   21.303250409222528     
           5          88  -9.0098575538504519     
           5          89  -144.81079536818288     
           5          90   10.807265380251920     
           5          91  -35.057707347124961     
           5          92   23.109955534837354     
           5          93   18.731825005274004     
           5          94   4.6117062418088608     
           5          95   19.564178374939729     
           5          96   105.13508404262393     
           5          97  -190.91900112971780     
           5          98  -17.589993384401168     
           5          99  -3.5169244887056266     
           5         100   21.743855666936724     
           6           1  -1476.8454204537265     
           6           2  -10.720090519462246     
           6           3  -3.9921262628922705     
           6           4  -34.876637335983105     
           6           5   10.052167058176565     
           6           6   0.0000000000000000     
           6           7  -15.249274129047990     
           6           8  -96.165731416727795     
           6           9   96.236717493222386     
           6          10  -17.267250584176509     
           6          11  -2789.2143540065881     
           6          12  -22.634496946249783     
           6          13  -294.60670807540009     
           6          14   40.766119792941026     
           6          15  -5.0368727739751193     
           6          16   2.4319400602016685     
           6          17  -19.291590135933802     
           6          18  -414.83667211853754     
           6          19  -20.345011662291654     
           6          20  -32.141941265021160     
           6          21  -18.176659664317413     
           6          22   28.107880209925497     
           6          23  -24.425051322799845     
           6          24   9.2988628809252987     
           6          25   19.188902168756613     
           6          26  -4.5575901596275799     
           6          27  -19.838467043424316     
           6          28   4.5324966282751120     
           6          29   13.886200610377273     
           6          30   8.6796650966152811     
           6          31  -314.06167780675605     
           6          32   17.467293079613228     
           6          33  -8.1713546088085423     
           6          34  -2.6679205539967370     
           6          35  -115.74026783255977     
           6          36   14.702430452236513     
           6          37  -17.246417319478496     
           6          38   4.9033568805607501     
           6          39   2.8034433740504028     
           6          40  -22.933467396622291     
           6          41   5.5680817819502408     
           6          42   5.5738285085517418     
           6          43  -5.4327461030297854     
           6          44  -10.828814965570928     
           6          45  -40.965698834530485     
           6          46   11.718839460312665     
           6          47  -1.3616918207426352     
           6          48   2.4604081451670936     
           6          49   6.2603707962389308     
           6          50  -4.2829755669736187     
           6          51  -5.4051501904978068     
           6          52   2.9097911077551544     
           6          53  -12.111592132809164     
           6          54  -109.83002841610505     
           6          55   31.801774764568108     
           6          56   10.597701618093197     
           6          57   6.0983359917700000     
           6          58   26.192083849726259     
           6          59  -11.043793155500680     
           6          60  0.19499967784940964     
           6          61  -4.7027009404901037     
           6          62  -11.359343190206346     
           6          63   13.680248087297514     
           6          64  -7.5071590616062167E-002
           6          65  -4.4045781432105287     
           6          66   11.587398762732846     
           6          67  -27.544171475048643     
           6          68  -1.3289358757301670     
           6          69   4.6461086135041114     
           6          70   8.4584317887856741     
           6          71  -8.6973206415677851     
           6          72  -32.838521227604360     
           6          73  -16.570994069652443     
           6          74   7.8101698038444738     
           6          75  0.86573393832804868     
           6          76   45.647236703283852     
           6          77  -10.495462536178820     
           6          78  -55.089197309549490     
           6          79  -160.21757506631911     
           6          80  -21.851063637039260     
           6          81   5.0084344470942597     
           6          82   3.5481278870520327     
           6          83   15.355619144058437     
           6          84  -79.162650700342056     
           6          85   2.9574314953242720     
           6          86   4.9222025335857325     
           6          87   15.725389229643042     
           6          88   114.23478033716310     
           6          89  -16.551076795352856     
           6          90   23.641145154386322     
           6          91  -128.46032577588267     
           6          92  -25.007404677398881     
           6          93   118.62126249743960     
           6          94   174.45580696113393     
           6          95   32.177781002836127     
           6          96  -2.4193635360279586     
           6          97  -63.064766532846988     
           6          98  -7.4278198557676660     
           6          99  -2.8424575714943785     
           6         100 -0.76574100673315115     
           7           1  -21.761811917924206     
           7           2   512.01978695959406     
           7           3  -189.45584817955023     
           7           4   23.501385616687912     
           7           5  -139.72452335127309     
           7           6  -15.249274129047990     
           7           7   0.0000000000000000     
           7           8  -81.234813613933511     
           7           9  -55.878134882146696     
           7          10  -304.30829058476229     
           7          11  -38.158495922572911     
           7          12   46.676281003579788     
           7          13  -45.388189309338486     
           7          14   454.03902607158670     
           7          15  -23.087746286961192     
           7          16  -182.42002551994665     
           7          17   15.124951380024868     
           7          18  -62.079884458362358     
           7          19   124.25568494202889     
           7          20  -483.82064461817208     
           7          21   12.092009267496906     
           7          22  -73.045904164391686     
           7          23   6.8954854510448058     
           7          24  -21.118352634966868     
           7          25   85.917031876404508     
           7          26  -38.033010338032909     
           7          27  -29.717443845856906     
           7          28   584.07016882466996     
           7          29  -34.656815386322705     
           7          30   442.36232347098849     
           7          31   111.59730200698323     
           7          32  -104.62143518912126     
           7          33  -100.99116133889765     
           7          34  -3.8731761852359341     
           7          35   3.6373848598923360     
           7          36  -29.975476584244461     
           7          37   20.806337638474361     
           7          38  -46.211523240806855     
           7          39  0.91320836225713720     
           7          40  -2391.1558217855127     
           7          41   117.68355108295145     
           7          42   5.9967948101730144     
           7          43   18.678747735022625     
           7          44   6.0716391588284750     
           7          45  -2686.6638766023098     
           7          46  -227.20912155851693     
           7          47  -439.81320534322003     
           7          48  -1883.5754526844248     
           7          49  -28.527736979202018     
           7          50   49.443468428104097     
           7          51  -10.823682271631696     
           7          52  -47.655236909828091     
           7          53  -73.834214488939324     
           7          54  -103.37589557510000     
           7          55  -12.628788414400333     
           7          56  -1.3027482431753015     
           7          57  -39.735831028148823     
           7          58  -97.931229993548186     
           7          59  -7.4293418662018667     
           7          60  -9.9926367263324209     
           7          61  -91.786065994860110     
           7          62   14.743826479769268     
           7          63  -158.83258525185738     
           7          64  -118.76543414932530     
           7          65   289.56006448199332     
           7          66  -55.390919696405035     
           7          67  -203.13718317171515     
           7          68   5.4895412935256900     
           7          69  -90.577137317690358     
           7          70  -56.732566591967043     
           7          71  -214.88645339651703     
           7          72   21.916674239559143     
           7          73   67.898569864115416     
           7          74  -2385.5465357374487     
           7          75   141.32262930073557     
           7          76  -743.51673212333844     
           7          77  -13.784969334166817     
           7          78  -241.93172962430253     
           7          79  -35.786680905504909     
           7          80  -52.813234328663384     
           7          81  -131.26476827333681     
           7          82  -171.19749299748219     
           7          83  -232.72409589671588     
           7          84   6.2940266903533484     
           7          85   70.855258178806253     
           7          86  -272.88342549013760     
           7          87   7.6438147776752885     
           7          88  -12.663230288708291     
           7          89   158.83798764330277     
           7          90  -34.070444704157126     
           7          91   120.03605249966495     
           7          92  -47.636388252405595     
           7          93  -20.036016590467625     
           7          94   115.85551666080937     
           7          95  -43.805344077889458     
           7          96  -57.766294380748150     
           7          97   98.613910762313026     
           7          98   66.945974398407998     
           7          99  -19.380273425897030     
           7         100   10.424198069464182     
           8           1  -119.09222005061383     
           8           2  -38.722991077567713     
           8           3  -1.1108538215084991     
           8           4   71.490905084636324     
           8           5   132.53873983671656     
           8           6  -96.165731416727795     
           8           7  -81.234813613933511     
           8           8   0.0000000000000000     
           8           9   55.386611640722549     
           8          10  -79.342565411374380     
           8          11  -364.15260745431442     
           8          12  -89.990559789610415     
           8          13  -2054.1490982072282     
           8          14  -77.079439661290962     
           8          15   17.230367958665738     
           8          16  -80.502179906332458     
           8          17  -64.456603229900793     
           8          18   56.316944979051186     
           8          19  -32.122722743322811     
           8          20  -894.10115556897654     
           8          21  -25.567799772303260     
           8          22   65.387617471213161     
           8          23   47.662090731297212     
           8          24 -0.12114267684228253     
           8          25   147.17383517593407     
           8          26   16.777913776921196     
           8          27   79.362568898508471     
           8          28  -186.58268458933162     
           8          29   85.189202314260910     
           8          30  -25.007934879206005     
           8          31   92.340436116501223     
           8          32   5.2265507695301494     
           8          33  -39.645883685989247     
           8          34  -30.918948984031886     
           8          35  -310.59908153993820     
           8          36   16.098340455126163     
           8          37  -130.60717161285356     
           8          38   4.4746879671074566     
           8          39   10.116585899455458     
           8          40   16.743485048740695     
           8          41   8.1717042949730967     
           8          42   9.9952339013816527     
           8          43  -13.108848305586434     
           8          44  -35.340093851733400     
           8          45  -191.72010985388624     
           8          46   67.381939106177015     
           8          47   4.9393594701832626     
           8          48  -54.569171445229586     
           8          49   10.590026638543350     
           8          50  -17.624493537921808     
           8          51  -12.935239534137509     
           8          52   98.671348539297469     
           8          53   39.861111354905006     
           8          54   37.894812797534541     
           8          55   19.990524569147965     
           8          56   17.402994299722195     
           8          57   11.839758237527349     
           8          58   22.940276664270641     
           8          59  -8.2184248004632536     
           8          60  -29.352835228317417     
           8          61  -2.8715633012325270E-002
           8          62  -11.535600805724243     
           8          63   43.103988081624266     
           8          64   3.9732128971772909     
           8          65  -31.376245467828994     
           8          66   43.915423185593681     
           8          67  -302.50082998232392     
           8          68  -12.828103141824613     
           8          69   15.539864660606327     
           8          70   30.456525449866604     
           8          71   13.565700328148523     
           8          72  -84.023906417700346     
           8          73  -29.477344324644946     
           8          74  -2.0265260175765434     
           8          75   20.771855030292500     
           8          76  -2200.3454860473284     
           8          77   141.33195565487404     
           8          78  -1453.9046819326322     
           8          79   21.450689773322665     
           8          80  -203.10524111325140     
           8          81   10.309864387596463     
           8          82  -25.351353231926623     
           8          83  -120.42891095374944     
           8          84  -1623.5934443713995     
           8          85   4.0002061005852738     
           8          86   10.796105207904475     
           8          87   84.039271686244319     
           8          88  -117.10594194459190     
           8          89  -109.71290966006927     
           8          90   14.490259376252652     
           8          91   218.94665865744173     
           8          92   17.900682160343422     
           8          93   10.603045818428654     
           8          94   249.56731098588352     
           8          95   57.246876876764873     
           8          96  -37.584245050751633     
           8          97   470.31373144084500     
           8          98  -26.446084571067331     
           8          99  -18.620501178747872     
